journalID,authorID,editorID
j11456,a57479,chair0
j16528,a57840,chair1
j3253,a9649,chair2
j18614,a46136,chair3
j1544,a80689,chair4
j12568,a27505,chair5
j15497,a96005,chair6
j13987,a78362,chair7
j9598,a103718,chair8
j6668,a41337,chair9
j4244,a14646,chair10
j17420,a45643,chair11
j5781,a11913,chair12
j4570,a29764,chair13
j15716,a40696,chair14
j2401,a43294,chair15
j6295,a95328,chair16
j16204,a16702,chair17
j10057,a12021,chair18
j415,a54122,chair19
j5642,a7485,chair20
j8266,a3655,chair21
j8645,a59358,chair22
j7331,a4359,chair23
j8214,a46493,chair24
j10786,a66845,chair25
j3729,a79214,chair26
j6793,a76863,chair27
j4895,a64319,chair28
j3169,a91821,chair29
j12492,a41748,chair30
j10811,a85738,chair31
j14233,a12739,chair32
j13769,a94309,chair33
j6595,a73980,chair34
j16324,a40750,chair35
j18336,a88293,chair36
j5065,a89635,chair37
j10985,a65845,chair38
j3153,a87877,chair39
j4908,a21513,chair40
j19728,a23245,chair41
j644,a92187,chair42
j6096,a34865,chair43
j7484,a59075,chair44
j8829,a78648,chair45
j6052,a68903,chair46
j4218,a37955,chair47
j11823,a55079,chair48
j19005,a5647,chair49
j7239,a30785,chair50
j1841,a98960,chair51
j4120,a52997,chair52
j17580,a20580,chair53
j8181,a58669,chair54
j3835,a101361,chair55
j8876,a26224,chair56
j7915,a74195,chair57
j14108,a56299,chair58
j7716,a15087,chair59
j6753,a58640,chair60
j19206,a92050,chair61
j2247,a41528,chair62
j2655,a41184,chair63
j17958,a100390,chair64
j19483,a44545,chair65
j8736,a52008,chair66
j17843,a15429,chair67
j9958,a15524,chair68
j891,a58008,chair69
j2782,a44359,chair70
j1104,a42840,chair71
j12143,a79874,chair72
j12031,a2453,chair73
j13667,a11084,chair74
j8561,a91567,chair75
j4385,a77951,chair76
j2784,a35937,chair77
j9119,a7593,chair78
j3198,a54166,chair79
j5674,a22082,chair80
j2055,a93753,chair81
j8018,a86213,chair82
j4,a40446,chair83
j7661,a43409,chair84
j1332,a9688,chair85
j7803,a40730,chair86
j17122,a95386,chair87
j11939,a105064,chair88
j8222,a17955,chair89
j14626,a43716,chair90
j72,a29742,chair91
j15675,a13446,chair92
j7076,a9876,chair93
j1463,a25530,chair94
j2277,a26290,chair95
j8069,a19197,chair96
j11148,a14166,chair97
j14480,a49400,chair98
