authorID,conferenceID,chairID
a38993,c39,chair0
a66571,c39,chair0
a87299,c39,chair0
a75261,c39,chair0
a56837,c39,chair0
a50826,c39,chair0
a6974,c39,chair0
a3789,c39,chair0
a15435,c39,chair0
a18873,c39,chair0
a17419,c170,chair1
a8768,c170,chair1
a20091,c170,chair1
a32226,c170,chair1
a51674,c170,chair1
a101176,c170,chair1
a70549,c170,chair1
a48042,c170,chair1
a86301,c170,chair1
a44546,c170,chair1
a2040,c93,chair2
a9303,c93,chair2
a26766,c93,chair2
a76597,c93,chair2
a22177,c93,chair2
a84240,c93,chair2
a28496,c93,chair2
a21397,c93,chair2
a105454,c93,chair2
a70029,c93,chair2
a36970,c62,chair3
a3614,c62,chair3
a33544,c62,chair3
a17148,c62,chair3
a9996,c62,chair3
a32810,c62,chair3
a6729,c62,chair3
a79668,c62,chair3
a81875,c62,chair3
a38395,c62,chair3
a38236,c199,chair4
a79112,c199,chair4
a83939,c199,chair4
a63358,c199,chair4
a17150,c199,chair4
a37303,c199,chair4
a38988,c199,chair4
a27380,c199,chair4
a43204,c199,chair4
a2495,c199,chair4
a75053,c173,chair5
a39152,c173,chair5
a45455,c173,chair5
a19204,c173,chair5
a53136,c173,chair5
a89165,c173,chair5
a13735,c173,chair5
a963,c173,chair5
a56343,c173,chair5
a90966,c173,chair5
a2579,c38,chair6
a20902,c38,chair6
a93620,c38,chair6
a90028,c38,chair6
a103117,c38,chair6
a50339,c38,chair6
a41926,c38,chair6
a86989,c38,chair6
a12650,c38,chair6
a31794,c38,chair6
a28627,c124,chair7
a79529,c124,chair7
a48802,c124,chair7
a73583,c124,chair7
a62466,c124,chair7
a49041,c124,chair7
a8449,c124,chair7
a65089,c124,chair7
a71518,c124,chair7
a25894,c124,chair7
a79163,c107,chair8
a70901,c107,chair8
a25983,c107,chair8
a22708,c107,chair8
a32042,c107,chair8
a6770,c107,chair8
a2394,c107,chair8
a46735,c107,chair8
a67742,c107,chair8
a44682,c107,chair8
a58685,c89,chair9
a71953,c89,chair9
a92201,c89,chair9
a61373,c89,chair9
a51637,c89,chair9
a43912,c89,chair9
a98619,c89,chair9
a31414,c89,chair9
a53215,c89,chair9
a2409,c89,chair9
a80411,c4,chair10
a49191,c4,chair10
a98604,c4,chair10
a98513,c4,chair10
