authorID,authorRef,Name
a0,57285646800,Zhu F.
a1,58827616000,Ding J.
a2,55874533600,Li X.
a3,57445720300,Lu Y.
a4,58825580400,Liu X.
a5,58826094500,Jiang F.
a6,56430209300,Zhao Q.
a7,58828644200,Su H.
a8,57204698746,Shuai J.
a9,57216127417,Ye D.
a10,58790917800,Xu B.
a11,57401765300,Wei B.
a12,57219230079,Zheng L.
a13,57216986834,Wu Y.J.
a14,56724845900,Hu Z.
a15,57063199300,Krisnanda T.
a16,55972469700,Fieramosca A.
a17,57193491126,Zhao J.
a18,57815404400,Sun Q.
a19,57207300435,Chen Y.
a20,58441614400,Liu H.
a21,57485056100,Luo Y.
a22,57190298197,Su R.
a23,57192873327,Wang J.
a24,55704890400,Watanabe K.
a25,55252500400,Taniguchi T.
a26,14028212700,Eda G.
a27,55950791700,Wang X.R.
a28,57216311270,Ghosh S.
a29,57170400300,Dini K.
a30,9741880700,Sanvitto D.
a31,26537649900,Liew T.C.H.
a32,58892556000,Xiong Q.
a33,57202215798,Yang H.
a34,7003511606,Jing M.
a35,57196330840,Wang L.
a36,55868928500,Xu H.
a37,58895659800,Yan X.
a38,8934002500,He X.
a39,57223368104,Gao Z.
a40,56959654300,Zhao C.
a41,57194799157,Zhou K.
a42,57220640047,Wu J.
a43,58896304800,Tian Y.
a44,57223356789,Deng X.
a45,57204856640,Zhang L.
a46,58895874800,Lin K.
a47,56962751400,Kang F.
a48,51261347400,Peng L.
a49,57203612365,Wagemaker M.
a50,35558856100,Li B.
a51,57410400900,Huang L.
a52,57210824515,He L.
a53,57102131400,Zhang W.
a54,57215614334,Zhang H.
a55,57222757650,Liu D.
a56,57223941540,Feng X.
a57,58848473700,Liu F.
a58,24476543700,Cui K.
a59,35187093200,Huang Y.
a60,58605233800,Zhang W.
a61,57194007511,Zhang X.
a62,58084154000,Feng C.
a63,57700643800,Wu H.
a64,58083994800,Qi Z.
a65,58083917700,Wei Y.
a66,56739579600,Yang B.
a67,58083994900,Yin H.
a68,58854462400,Yan S.
a69,58083598400,Wang L.
a70,58855202400,Yu Y.
a71,58854090700,Xie J.
a72,58854090800,Xing X.
a73,58854275700,Tu S.
a74,57216934090,Zhang H.
a75,55601182600,Guo X.
a76,58856593400,Du J.
a77,58170234500,Yang Y.
a78,58857054100,Wu M.
a79,58857357100,Ou W.
a80,58562651900,Han X.
a81,58857209600,Wang Z.
a82,58856901000,Jin J.
a83,57202449748,Zhang P.
a84,56136516500,Zhang Z.
a85,58856901100,Chen G.
a86,58856743200,Long M.
a87,58856901200,Yin G.
a88,23568158200,Liu T.
a89,58857209700,Wang X.
a90,58856445300,Li D.
a91,58856743300,Chen M.
a92,7403390726,Dong Y.
a93,58857357200,Lai C.
a94,57197744798,Zhang X.
a95,58856445400,Yi Y.
a96,58856445500,Xiang J.
a97,57191584761,Chen C.
a98,56628234100,Unverdorben M.
a99,39161847400,Ma C.
a100,58857507800,Yin Y.
a101,58857054200,Qi H.
a102,58856901300,Jia Z.
a103,58856445600,Ji X.
a104,58857209800,Zhang Y.
a105,58856743400,Liang X.
a106,58856901400,Deng B.
a107,58857357300,Liu J.
a108,58856445700,Ma J.
a109,58856593500,Song C.
a110,58857507900,Feng H.
a111,57210287508,Luo S.
a112,58856901500,Wang J.
a113,58856593600,Li L.
a114,58857054300,Xiao Y.
a115,58857357400,Cui J.
a116,9043569500,Cheng X.
a117,58857209900,Huang Z.
a118,58857210000,Wei J.
a119,58857054400,Cheng J.
a120,58857357500,Li H.
a121,58857357600,Zhang J.
a122,58857210100,Jiang W.
a123,58856901600,Liu J.
a124,58856743500,Min X.
a125,58856445800,Gao P.
a126,58857210200,Gao L.
a127,58857508000,Huang Z.
a128,58836337200,Wang R.
a129,58856445900,Li Y.
a130,58856593700,Ye Z.
a131,58857054500,Wang X.
a132,58857357700,Lai H.
a133,57875738000,Wang L.
a134,58857357800,Zhang M.
a135,58857054600,Wang C.
a136,58857508100,Mao W.
a137,58857210300,Chen X.
a138,57209050218,Wang Z.
a139,58832836200,Liu F.
a140,58856901700,Xie X.
a141,58857054700,Xu Z.
a142,58857508200,Dong B.
a143,58856446000,Zeng H.
a144,58856901800,Peng J.
a145,58856901900,Zhang L.
a146,58856446100,Zhao Q.
a147,58856902000,Liu F.
a148,58856902100,Guo C.
a149,58857508300,Tang L.
a150,58410441000,Li X.
a151,58385738300,Zhou J.
a152,57191642054,Yang X.
a153,58857357900,Chen X.
a154,58856446200,Liu Y.
a155,58856743600,Tong T.
a156,58856902200,Tang G.
a157,58856743700,Liu J.
a158,58857054800,Lin M.
a159,58856446300,Liu B.
a160,57369286000,Fu G.
a161,58857210400,Wang W.
a162,58856593800,Yang Q.
a163,14069483400,Tang B.
a164,58856446400,Ran B.
a165,58856446500,Xu J.
a166,58857508400,Yin C.
a167,58857054900,Yang P.
