journalID,authorID,editorID
j11456,a57479,editor0
j16528,a57840,editor1
j3253,a9649,editor2
j18614,a46136,editor3
j1544,a80689,editor4
j12568,a27505,editor5
j15497,a96005,editor6
j13987,a78362,editor7
j9598,a103718,editor8
j6668,a41337,editor9
j4244,a14646,editor10
j17420,a45643,editor11
j5781,a11913,editor12
j4570,a29764,editor13
j15716,a40696,editor14
j2401,a43294,editor15
j6295,a95328,editor16
j16204,a16702,editor17
j10057,a12021,editor18
j415,a54122,editor19
j5642,a7485,editor20
j8266,a3655,editor21
j8645,a59358,editor22
j7331,a4359,editor23
j8214,a46493,editor24
j10786,a66845,editor25
j3729,a79214,editor26
j6793,a76863,editor27
j4895,a64319,editor28
j3169,a91821,editor29
j12492,a41748,editor30
j10811,a85738,editor31
j14233,a12739,editor32
j13769,a94309,editor33
j6595,a73980,editor34
j16324,a40750,editor35
j18336,a88293,editor36
j5065,a89635,editor37
j10985,a65845,editor38
j3153,a87877,editor39
j4908,a21513,editor40
j19728,a23245,editor41
j644,a92187,editor42
j6096,a34865,editor43
j7484,a59075,editor44
j8829,a78648,editor45
j6052,a68903,editor46
j4218,a37955,editor47
j11823,a55079,editor48
j19005,a5647,editor49
j7239,a30785,editor50
j1841,a98960,editor51
j4120,a52997,editor52
j17580,a20580,editor53
j8181,a58669,editor54
j3835,a101361,editor55
j8876,a26224,editor56
j7915,a74195,editor57
j14108,a56299,editor58
j7716,a15087,editor59
j6753,a58640,editor60
j19206,a92050,editor61
j2247,a41528,editor62
j2655,a41184,editor63
j17958,a100390,editor64
j19483,a44545,editor65
j8736,a52008,editor66
j17843,a15429,editor67
j9958,a15524,editor68
j891,a58008,editor69
j2782,a44359,editor70
j1104,a42840,editor71
j12143,a79874,editor72
j12031,a2453,editor73
j13667,a11084,editor74
j8561,a91567,editor75
j4385,a77951,editor76
j2784,a35937,editor77
j9119,a7593,editor78
j3198,a54166,editor79
j5674,a22082,editor80
j2055,a93753,editor81
j8018,a86213,editor82
j4,a40446,editor83
j7661,a43409,editor84
j1332,a9688,editor85
j7803,a40730,editor86
j17122,a95386,editor87
j11939,a105064,editor88
j8222,a17955,editor89
j14626,a43716,editor90
j72,a29742,editor91
j15675,a13446,editor92
j7076,a9876,editor93
j1463,a25530,editor94
j2277,a26290,editor95
j8069,a19197,editor96
j11148,a14166,editor97
j14480,a49400,editor98
j3894,a6125,editor99
j6636,a20686,editor100
j12209,a23212,editor101
j596,a54670,editor102
j15216,a101290,editor103
j9624,a15010,editor104
j12787,a57752,editor105
j18434,a93620,editor106
j168,a15084,editor107
j11635,a95987,editor108
j2029,a13060,editor109
j2036,a53658,editor110
j14667,a46027,editor111
j4476,a86939,editor112
j343,a61031,editor113
j1916,a99885,editor114
j6016,a35666,editor115
j9826,a51695,editor116
j7763,a48357,editor117
j7424,a9176,editor118
j5213,a80065,editor119
j19916,a5284,editor120
j18485,a34610,editor121
