journalID,journalRef,journal,year,volumeName,journalVID
j0,2-s2.0-85182825734,Health Information Science and Systems,2024,journal0,jv0
j1,2-s2.0-85184294976,Humanities and Social Sciences Communications,2024,journal1,jv1
j2,2-s2.0-85185942630,Nature Communications,2024,journal2,jv2
j3,2-s2.0-85185502827,Nano-Micro Letters,2024,journal3,jv3
j4,2-s2.0-85185486376,Nature Communications,2024,journal4,jv4
j5,2-s2.0-85185666260,Nature Communications,2024,journal5,jv5
j6,2-s2.0-85183608237,Aging Clinical and Experimental Research,2024,journal6,jv6
j7,2-s2.0-85183730967,Scientific Reports,2024,journal7,jv7
j8,2-s2.0-85185144310,npj Clean Water,2024,journal8,jv8
j9,2-s2.0-85184415531,Communications Biology,2024,journal9,jv9
j10,2-s2.0-85183612104,Humanities and Social Sciences Communications,2024,journal10,jv10
j11,2-s2.0-85183353537,Nature Communications,2024,journal11,jv11
j12,2-s2.0-85185109820,Nature Communications,2024,journal12,jv12
j13,2-s2.0-85182696492,Journal of Experimental and Clinical Cancer Research,2024,journal13,jv13
j14,2-s2.0-85183001474,Nature Communications,2024,journal14,jv14
j15,2-s2.0-85186113186,Nature Communications,2024,journal15,jv15
j16,2-s2.0-85185953088,Nature Communications,2024,journal16,jv16
j17,2-s2.0-85182641662,Humanities and Social Sciences Communications,2024,journal17,jv17
j18,2-s2.0-85185398111,International Journal of Computational Intelligence Systems,2024,journal18,jv18
j19,2-s2.0-85184457029,Scientific Reports,2024,journal19,jv19
j20,2-s2.0-85182989848,Nature Communications,2024,journal20,jv20
j21,2-s2.0-85184731613,Nature Communications,2024,journal21,jv21
j22,2-s2.0-85182656908,Nature Communications,2024,journal22,jv22
j23,2-s2.0-85183014619,Nature Communications,2024,journal23,jv23
j24,2-s2.0-85185499350,Nature Communications,2024,journal24,jv24
j25,2-s2.0-85185665553,Scientific Reports,2024,journal25,jv25
j26,2-s2.0-85183817305,Nature Communications,2024,journal26,jv26
j27,2-s2.0-85184368036,Journal of Cloud Computing,2024,journal27,jv27
j28,2-s2.0-85185932800,Cell Discovery,2024,journal28,jv28
j29,2-s2.0-85185930748,Light: Science and Applications,2024,journal29,jv29
j30,2-s2.0-85182608806,npj Regenerative Medicine,2024,journal30,jv30
j31,2-s2.0-85185309439,Nano-Micro Letters,2024,journal31,jv31
j32,2-s2.0-85185243583,Nature Communications,2024,journal32,jv32
j33,2-s2.0-85183043610,Malaria Journal,2024,journal33,jv33
j34,2-s2.0-85185123631,Nature Communications,2024,journal34,jv34
j35,2-s2.0-85184951441,Journal of Cloud Computing,2024,journal35,jv35
j36,2-s2.0-85185238934,BMC Health Services Research,2024,journal36,jv36
j37,2-s2.0-85185695691,Nature Communications,2024,journal37,jv37
j38,2-s2.0-85183740821,Nano-Micro Letters,2024,journal38,jv38
j39,2-s2.0-85185594715,Communications in Transportation Research,2024,journal39,jv39
j40,2-s2.0-85183383309,Nature Communications,2024,journal40,jv40
j41,2-s2.0-85184248747,Humanities and Social Sciences Communications,2024,journal41,jv41
j42,2-s2.0-85183640977,BMC Public Health,2024,journal42,jv42
j43,2-s2.0-85185278097,BMC Public Health,2024,journal43,jv43
j44,2-s2.0-85182997448,Nature Communications,2024,journal44,jv44
j45,2-s2.0-85183448796,Nature Communications,2024,journal45,jv45
j46,2-s2.0-85182860492,Scientific Reports,2024,journal46,jv46
j47,2-s2.0-85182852472,npj Quantum Information,2024,journal47,jv47
j48,2-s2.0-85183803256,BMC Pulmonary Medicine,2024,journal48,jv48
j49,2-s2.0-85185517909,Journal of Cloud Computing,2024,journal49,jv49
j50,2-s2.0-85185396395,Journal of Cloud Computing,2024,journal50,jv50
j51,2-s2.0-85183034647,World Journal of Surgical Oncology,2024,journal51,jv51
j52,2-s2.0-85182822548,Nature Communications,2024,journal52,jv52
j53,2-s2.0-85185497191,npj Digital Medicine,2024,journal53,jv53
j54,2-s2.0-85185407075,Scientific Data,2024,journal54,jv54
