year,proceedingID,proceedingTitle,name
2023.0,cp0,proceeding0,"11th International Conference on Hard and Elecctromagnetic Probes of High-Energy Nuclear Collisions, HardProbes 2023"
2024.0,cp1,proceeding1,"18th International Conference on Tangible, Embedded, and Embodied Interaction, TEI 2024"
2022.0,cp2,proceeding2,"2022 International Conference on Organic and Applied Chemistry, ICOAC 2022"
2022.0,cp3,proceeding3,"1st International Conference on Advances in Material Science and Technology, ICAMST 2022"
2023.0,cp4,proceeding4,"2nd International Conference on Mechatronics and Automation Technology, ICMAT 2023"
2022.0,cp5,proceeding5,"2nd International Conference on the Multidimensional Role of Basic Science in Advanced Technology, ICMBAT 2022"
2024.0,cp6,proceeding6,"7th International Conference on High Performance Computing in Asia-Pacific Region, HPC Asia 2024"
2023.0,cp7,proceeding7,"13th International Conference on Electronics, Communications and Networks, CECNet 2023"
2023.0,cp8,proceeding8,"2023 5th International Conference on Energy, Power and Grid, ICEPG 2023"
2023.0,cp9,proceeding9,"18th International Conference on Computer-Aided Design and Computer Graphics, CAD/Graphics 2023"
2023.0,cp10,proceeding10,"6th International Conference on Electrical Engineering and Information Technologies for Rail Transportation, EITRT 2023"
2023.0,cp11,proceeding11,"3rd CAAI International Conference on Artificial Intelligence, CICAI 2023"
2023.0,cp12,proceeding12,"4th International Symposium on Insulation and Discharge Computation for Power Equipment, IDCOMPU 2023"
2023.0,cp13,proceeding13,"6th International Conference on Communications and Cyber-Physical Engineering, ICCCE 2023"
2023.0,cp14,proceeding14,"3rd International Civil Engineering and Architecture Conference, CEAC 2023"
2023.0,cp15,proceeding15,"9th International Conference on Energy Materials and Electrical Engineering, ICEMEE 2023"
2023.0,cp16,proceeding16,"2023 International Conference on Smart Transportation and City Engineering, STCE 2023"
2024.0,cp17,proceeding17,"18th International Society for Knowledge Organization Conference, ISKO 2024"
2023.0,cp18,proceeding18,"2023 4th International Conference on Mechanical Engineering and Materials, ICMEM 2023"
2023.0,cp19,proceeding19,"Intelligent Systems Conference, IntelliSys 2023"
