authorID,supervisorID,confjorID,supervisorsIDs
a38993,s38993,j6283,editor0
a66571,s66571,j15687,editor1
a87299,s87299,j6448,editor2
a75261,s75261,c219,chair0
a56837,s56837,j8844,editor3
a50826,s50826,j19875,editor4
a6974,s6974,c72,chair1
a3789,s3789,j11712,editor5
a15435,s15435,j2532,editor6
a18873,s18873,j19658,editor7
a17419,s17419,j10455,editor8
a8768,s8768,j15290,editor9
a20091,s20091,j17252,editor10
a32226,s32226,j3176,editor11
a51674,s51674,j14376,editor12
a101176,s101176,j6416,editor13
a70549,s70549,j5585,editor14
a48042,s48042,j4802,editor15
a86301,s86301,j14995,editor16
a44546,s44546,j14222,editor17
a2040,s2040,j4737,editor18
a9303,s9303,j9767,editor19
a26766,s26766,j12269,editor20
a76597,s76597,j597,editor21
a22177,s22177,j732,editor22
a84240,s84240,j10333,editor23
a28496,s28496,j17402,editor24
a21397,s21397,j12389,editor25
a105454,s105454,j11610,editor26
a70029,s70029,j3135,editor27
a36970,s36970,j1799,editor28
a3614,s3614,j3208,editor29
a33544,s33544,j17639,editor30
a17148,s17148,j16266,editor31
a9996,s9996,j11026,editor32
a32810,s32810,j10983,editor33
a6729,s6729,j12416,editor34
a79668,s79668,j10710,editor35
a81875,s81875,j16259,editor36
a38395,s38395,j2846,editor37
a38236,s38236,j10076,editor38
a79112,s79112,j160,editor39
a83939,s83939,j12861,editor40
a63358,s63358,j5298,editor41
a17150,s17150,j15806,editor42
a37303,s37303,j7523,editor43
a38988,s38988,j9490,editor44
a27380,s27380,j7221,editor45
a43204,s43204,j3460,editor46
a2495,s2495,j6314,editor47
a75053,s75053,j6299,editor48
a39152,s39152,j14401,editor49
a45455,s45455,j5618,editor50
a19204,s19204,j12681,editor51
a53136,s53136,j11271,editor52
a89165,s89165,j18001,editor53
a13735,s13735,j7579,editor54
a963,s963,j6690,editor55
a56343,s56343,j8795,editor56
a90966,s90966,j3570,editor57
a2579,s2579,j16535,editor58
a20902,s20902,j1467,editor59
a93620,s93620,j627,editor60
a90028,s90028,j4078,editor61
a103117,s103117,j14093,editor62
a50339,s50339,j18087,editor63
a41926,s41926,j6092,editor64
a86989,s86989,j5050,editor65
a12650,s12650,j10777,editor66
a31794,s31794,j6254,editor67
a28627,s28627,j8985,editor68
a79529,s79529,j12097,editor69
a48802,s48802,j13367,editor70
a73583,s73583,j11906,editor71
a62466,s62466,j13675,editor72
a49041,s49041,j6319,editor73
a8449,s8449,j19238,editor74
a65089,s65089,j6344,editor75
a71518,s71518,j5234,editor76
a25894,s25894,j1066,editor77
a79163,s79163,j4747,editor78
a70901,s70901,c140,chair2
a25983,s25983,j9470,editor79
a22708,s22708,j9903,editor80
a32042,s32042,j1108,editor81
a6770,s6770,j11254,editor82
a2394,s2394,j13523,editor83
a46735,s46735,j19874,editor84
a67742,s67742,j12540,editor85
a44682,s44682,j7844,editor86
a58685,s58685,j19911,editor87
a71953,s71953,j3484,editor88
a92201,s92201,j13076,editor89
a61373,s61373,j7594,editor90
a51637,s51637,j13510,editor91
a43912,s43912,j1562,editor92
a98619,s98619,j9288,editor93
a31414,s31414,j13300,editor94
a53215,s53215,j19721,editor95
a2409,s2409,j8681,editor96
a80411,s80411,j16337,editor97
a49191,s49191,j4589,editor98
a98604,s98604,j11757,editor99
a98513,s98513,j714,editor100
a11336,s11336,j17668,editor101
a55497,s55497,j19710,editor102
a40620,s40620,j18625,editor103
a37115,s37115,j1658,editor104
a53453,s53453,j19638,editor105
a86149,s86149,j19886,editor106
a14544,s14544,j5855,editor107
a85135,s85135,j18188,editor108
a49491,s49491,j2542,editor109
a52728,s52728,j10539,editor110
a57250,s57250,j8775,editor111
a13924,s13924,j16854,editor112
a78921,s78921,j10654,editor113
a59913,s59913,j18546,editor114
a72058,s72058,j1033,editor115
a71893,s71893,j19200,editor116
a66187,s66187,j12628,editor117
a90845,s90845,j14813,editor118
a49311,s49311,j14582,editor119
a1815,s1815,j15787,editor120
a30187,s30187,j12531,editor121
a15702,s15702,j15795,editor122
a40052,s40052,j19771,editor123
a15482,s15482,j14695,editor124
a104603,s104603,j1341,editor125
a73597,s73597,j8862,editor126
a85207,s85207,j12396,editor127
a54243,s54243,j10896,editor128
a5854,s5854,j6312,editor129
a3011,s3011,j11371,editor130
a11951,s11951,j2005,editor131
a25899,s25899,j17915,editor132
a39594,s39594,j3418,editor133
a84986,s84986,j12107,editor134
a86252,s86252,j3116,editor135
a98729,s98729,j2241,editor136
a60571,s60571,j18555,editor137
a79633,s79633,j18454,editor138
a25779,s25779,j2742,editor139
a57462,s57462,c44,chair3
a76873,s76873,j5683,editor140
a74894,s74894,j3115,editor141
a100046,s100046,j15183,editor142
a69047,s69047,j11028,editor143
a70869,s70869,j15656,editor144
a88417,s88417,j136,editor145
a100051,s100051,j548,editor146
a5406,s5406,j15767,editor147
a76689,s76689,j16405,editor148
a54247,s54247,j216,editor149
a80375,s80375,j16052,editor150
a69884,s69884,j15823,editor151
a97787,s97787,j9168,editor152
a57258,s57258,j8759,editor153
a25810,s25810,j11661,editor154
a5719,s5719,j2761,editor155
a67510,s67510,j2112,editor156
a1824,s1824,j14405,editor157
a63861,s63861,j16747,editor158
a84190,s84190,j5849,editor159
